ID,Time [s],Phase,Alt [ft],Pitch [deg],Roll [deg],Yaw [deg],AOA [deg],Speed [ft/s]
1,5,Taxi,0,0,0,45,0,0
2,10,Takeoff Roll,0,0,0,0,0,25
3,15,Climb,20,30,0,0,25,50
4,20,Climb,40,30,0,0,25,50
5,25,Climb,60,30,0,0,25,50
6,30,Climb,80,30,0,0,25,50
7,35,Cruise,100,0,0,0,0,75
8,40,Cruise,100,0,0,0,0,75
9,45,Cruise,100,0,0,0,0,75
10,50,Cruise,100,0,0,0,0,75
11,55,Descent,100,-30,0,0,-35,75
12,60,Bank,80,0,30,0,0,50
13,65,Bank,80,0,30,0,0,70
14,70,Descent,80,-30,0,0,-35,50
15,75,Descent,60,-30,0,0,-35,50
16,80,Descent,40,-30,0,0,-35,50
17,85,Descent,20,-30,0,0,-35,50
18,90,Landing Roll,0,0,0,0,0,20
19,95,Landing Roll,0,0,0,0,0,10
20,100,Static,0,0,0,0,0,0
